lon,lat,name,head,source,date,link
 30.122569,59.582473,"ЛОГБУ ""ГАТЧИНСКИЙ ПНИ""",В Гатчине прокурор защитил права инвалида,Online47.ru,27/02/2017,http://online47.ru/2017/02/27/V-Gatchine-prokuror-zaschitil-prava-invalida-43518
48.580486,51.793017,"ГАУ СО ""МИХАЙЛОВСКИЙ ПНИ""",Саратовская прокуратура наказала рублем сразу двоих министров,ФедералПресс (fedpress.ru),17/02/2017,http://fedpress.ru/news/64/policy/1745094
38.787044,53.923053,"ГУТО ""КИМОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""",Бывший директор Кимовского психоневрологического интерната осуждена за превышение должностных полномочий и служебный подлог.,BezFormata.Ru,30/03/2017,http://tula.bezformata.ru/listnews/kimovskogo-psihonevrologicheskogo/56147536/
46.418762,61.347336,"ГБСУ АО ""ТУРОВЕЦКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""","На счете интерната выявлено свыше 5 млн рублей, принадлежащих умершим пациентам",Kotlas-info.ru,17/03/2017,http://kotlas-info.ru/news-337931
46.727388,52.164166,"ГБУ СО ""ВЯЗОВСКИЙ ПНИ""",Директора интерната оштрафовали за работу инвалида в ночную смену,Информационное агентство Регион 64 (sarnovosti.ru),15/03/2017,https://sarnovosti.ru/news.php?ID=64812
103.145612,53.119778,"ОГКУСО ""ЧЕРЕМХОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""","В Черемховском интернате, где скончались дети-инвалиды, зафиксирована новаявспышка инфекции",ТАСС - Новости: Криминал и ЧП,06/03/2017,http://tass.ru/sibir-news/4073723
115.63833,51.669294,"ГАУСО ""ППНДИ""",Прокуратура вскрыла массовые нарушения прав инвалидов в забайкальских интернатах,Вечорка (Чита) (gazetavechorka.ru),31/05/2017,http://www.gazetavechorka.ru/show?news=1483095152
36.827657,55.713537,"ГБСУ СО МО ""ЗВЕНИГОРОДСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""","«Реформы ПНИ нет, в ней не заинтересованы чиновники»",Коммерсантъ ВЛАСТЬ,20/05/2017,https://www.kommersant.ru/doc/3299024
48.580486,51.793017,"ГАУ СО ""МИХАЙЛОВСКИЙ ПНИ""",Выявлены хищения средств для людей с ограниченными возможностями и оштрафованы два саратовских министра,Новости России (news-russia.info),17/02/2017,http://news-russia.info/2017/02/17/viyavleni-hischeniya-sredstv-dlya-lyudey-s-ogranichennimi/
48.392702,53.176501,"ГБУ СО ""СЫЗРАНСКИЙ ПАНСИОНАТ ДЛЯ ИНВАЛИДОВ""",Из Самарской области Москальковой жалуются все больше,Самарское обозрение (№ 30),18/05/2017,
115.63833,51.669294,"ГАУСО ""ППНДИ""","Прокуратура Забайкальского края провела проверку соблюдения социальных прав инвалидов, проживающих в государственных учреждениях социального обслуживания...",Забайкальское Информационное Агентство (Чита),17/05/2017,http://www.zabinfo.ru/print.php?pwd=&sid=144630
42.987917,57.806881,"ОГБУ ""КАДЫЙСКИЙ ПНИ""",О надзоре в сфере защиты прав инвалидов и граждан пожилого возраста...,SMINEWS.ru,16/05/2017,http://sminews.ru/8165
